Time[s], BSYNC, VIDEO, INTENS
0.42896446, 1, 1, 1
0.42896478, 1, 0, 1
0.42896482, 1, 1, 1
0.42896694, 1, 0, 1
0.42896706, 1, 1, 1
0.42896807, 1, 0, 1
0.42899479, 0, 0, 1
0.42899968, 1, 0, 1
0.42900686, 1, 1, 1
0.42900771, 1, 0, 1
0.42900845, 1, 1, 1
0.42900876, 1, 0, 1
0.42900881, 1, 1, 1
0.42900948, 1, 0, 1
0.42901033, 1, 1, 1
0.42901072, 1, 0, 1
0.42901084, 1, 1, 1
0.42901185, 1, 0, 1
0.42901200, 1, 1, 1
0.42901259, 1, 0, 1
0.42901264, 1, 1, 1
0.42901446, 1, 0, 1
0.42901489, 1, 1, 1
0.42901606, 1, 0, 1
0.42901610, 1, 1, 1
0.42901649, 1, 0, 1
0.42901663, 1, 1, 1
0.42901722, 1, 0, 1
0.42901735, 1, 1, 1
0.42901771, 1, 0, 1
0.42901786, 1, 1, 1
0.42901822, 1, 0, 1
0.42901851, 1, 1, 1
0.42901886, 1, 0, 1
0.42901894, 1, 1, 1
0.42901947, 1, 0, 1
0.42901952, 1, 1, 1
0.42901991, 1, 0, 1
0.42902075, 1, 1, 1
0.42902106, 1, 0, 1
0.42902118, 1, 1, 1
0.42902160, 1, 0, 1
0.42902176, 1, 1, 1
0.42902247, 1, 0, 1
0.42902314, 1, 1, 1
0.42902344, 1, 0, 1
0.42902357, 1, 1, 1
0.42902537, 1, 0, 1
0.42902705, 1, 1, 1
0.42902764, 1, 0, 1
0.42902770, 1, 1, 1
0.42903060, 1, 0, 1
0.42905735, 0, 0, 1
0.42906219, 1, 0, 1
0.42911982, 0, 0, 1
0.42912470, 1, 0, 1
0.42918238, 0, 0, 1
0.42918721, 1, 0, 1
0.42924481, 0, 0, 1
0.42924972, 1, 0, 1
0.42925793, 1, 1, 1
0.42925827, 1, 0, 1
0.42926024, 1, 1, 1
0.42926081, 1, 0, 1
0.42926089, 1, 1, 1
0.42926267, 1, 0, 1
0.42926313, 1, 1, 1
0.42926386, 1, 0, 1
0.42926509, 1, 1, 1
0.42926536, 1, 0, 1
0.42926559, 1, 1, 1
0.42926593, 1, 0, 1
0.42926798, 1, 1, 1
0.42926827, 1, 0, 1
0.42926833, 1, 1, 1
0.42926904, 1, 0, 1
0.42927023, 1, 1, 1
0.42927053, 1, 0, 1
0.42927334, 1, 1, 1
0.42927357, 1, 0, 1
0.42927428, 1, 1, 1
0.42927468, 1, 0, 1
0.42927551, 1, 1, 1
0.42927582, 1, 0, 1
0.42927724, 1, 1, 1
0.42927770, 1, 0, 1
0.42927840, 1, 1, 1
0.42927871, 1, 0, 1
0.42928130, 1, 1, 1
0.42928156, 1, 0, 1
0.42928296, 1, 1, 1
0.42928326, 1, 0, 1
0.42928347, 1, 1, 1
0.42928383, 1, 0, 1
0.42930740, 0, 0, 1
0.42931224, 1, 0, 1
0.42932044, 1, 1, 1
0.42932069, 1, 0, 1
0.42932275, 1, 1, 1
0.42932343, 1, 0, 1
0.42932348, 1, 1, 1
0.42932522, 1, 0, 1
0.42932565, 1, 1, 1
0.42932642, 1, 0, 1
0.42932811, 1, 1, 1
0.42932842, 1, 0, 1
0.42933042, 1, 1, 1
0.42933069, 1, 0, 1
0.42933100, 1, 1, 1
0.42933141, 1, 0, 1
0.42933274, 1, 1, 1
0.42933304, 1, 0, 1
0.42933585, 1, 1, 1
0.42933612, 1, 0, 1
0.42933672, 1, 1, 1
0.42933736, 1, 0, 1
0.42933795, 1, 1, 1
0.42933829, 1, 0, 1
0.42933968, 1, 1, 1
0.42933999, 1, 0, 1
0.42934547, 1, 1, 1
0.42934571, 1, 0, 1
0.42934605, 1, 1, 1
0.42934639, 1, 0, 1
0.42936987, 0, 0, 1
0.42937476, 1, 0, 1
0.42938295, 1, 1, 1
0.42938319, 1, 0, 1
0.42938527, 1, 1, 1
0.42938557, 1, 0, 1
0.42938563, 1, 1, 1
0.42938638, 1, 0, 1
0.42938642, 1, 1, 1
0.42938742, 1, 0, 1
0.42938816, 1, 1, 1
0.42938892, 1, 0, 1
0.42939062, 1, 1, 1
0.42939089, 1, 0, 1
0.42939286, 1, 1, 1
0.42939316, 1, 0, 1
0.42939351, 1, 1, 1
0.42939390, 1, 0, 1
0.42939525, 1, 1, 1
0.42939560, 1, 0, 1
0.42939836, 1, 1, 1
0.42939857, 1, 0, 1
0.42939916, 1, 1, 1
0.42939947, 1, 0, 1
0.42939952, 1, 1, 1
0.42939987, 1, 0, 1
0.42940046, 1, 1, 1
