Time[s], BSYNC, SPI, COPY
0.47790941, 1, 1, 0
0.47790947, 1, 0, 0
0.47794093, 1, 1, 0
0.47794099, 1, 0, 0
0.47794708, 0, 0, 0
0.47794809, 1, 0, 0
0.47795375, 1, 1, 0
0.47795412, 1, 0, 0
0.47795430, 1, 1, 0
0.47795456, 1, 0, 0
0.47795543, 1, 1, 0
0.47795549, 1, 0, 0
0.47798383, 1, 1, 0
0.47798407, 1, 0, 0
0.47798582, 1, 1, 0
0.47798607, 1, 0, 0
0.47798632, 1, 1, 0
0.47798657, 1, 0, 0
0.47798695, 1, 1, 0
0.47798701, 1, 0, 0
0.47799310, 0, 0, 0
0.47799411, 1, 0, 0
0.47803913, 0, 0, 0
0.47804021, 1, 0, 0
0.47808515, 0, 0, 0
0.47808616, 1, 0, 0
0.47813117, 0, 0, 0
0.47813222, 1, 0, 0
0.47817720, 0, 0, 0
0.47817821, 1, 0, 0
0.47822322, 0, 0, 0
0.47822431, 1, 0, 0
0.47826925, 0, 0, 0
0.47827026, 1, 0, 0
0.47831527, 0, 0, 0
0.47831632, 1, 0, 0
0.47836130, 0, 0, 0
0.47836231, 1, 0, 0
0.47840732, 0, 0, 0
0.47840837, 1, 0, 0
0.47845335, 0, 0, 0
0.47845436, 1, 0, 0
0.47849937, 0, 0, 0
0.47850042, 1, 0, 0
0.47854540, 0, 0, 0
0.47854644, 1, 0, 0
0.47859142, 0, 0, 0
0.47859248, 1, 0, 0
0.47863744, 0, 0, 0
0.47863849, 1, 0, 0
0.47868347, 0, 0, 0
0.47868448, 1, 0, 0
0.47872949, 0, 0, 0
0.47873054, 1, 0, 0
0.47877552, 0, 0, 0
0.47877658, 1, 0, 0
0.47882154, 0, 0, 0
0.47882259, 1, 0, 0
0.47886757, 0, 0, 0
0.47886858, 1, 0, 0
0.47891359, 0, 0, 0
0.47891464, 1, 0, 0
0.47895961, 0, 0, 0
0.47896068, 1, 0, 0
0.47900564, 0, 0, 0
0.47900669, 1, 0, 0
0.47905166, 0, 0, 0
0.47905271, 1, 0, 0
0.47905789, 1, 1, 0
0.47905814, 1, 0, 0
0.47905883, 1, 1, 0
0.47905915, 1, 0, 0
0.47905933, 1, 1, 0
0.47905971, 1, 0, 0
0.47906034, 1, 1, 0
0.47906071, 1, 0, 0
0.47906095, 1, 1, 0
0.47906108, 1, 0, 0
0.47906183, 1, 1, 0
0.47906221, 1, 0, 0
0.47906233, 1, 1, 0
0.47906265, 1, 0, 0
0.47908942, 1, 1, 0
0.47908966, 1, 0, 0
0.47908991, 1, 1, 0
0.47909016, 1, 0, 0
0.47909769, 0, 0, 0
0.47909870, 1, 0, 0
0.47910372, 1, 1, 0
0.47910373, 1, 0, 0
0.47910422, 1, 1, 0
0.47910423, 1, 0, 0
0.47910447, 1, 1, 0
0.47910448, 1, 0, 0
0.47910522, 1, 1, 0
0.47910523, 1, 0, 0
0.47910622, 1, 1, 0
0.47910623, 1, 0, 0
0.47910736, 1, 1, 0
0.47910742, 1, 0, 0
0.47910767, 1, 1, 0
0.47910773, 1, 0, 0
0.47910872, 1, 1, 0
0.47910873, 1, 0, 0
0.47914371, 0, 0, 0
0.47914478, 1, 0, 0
0.47915350, 1, 1, 0
0.47915351, 1, 0, 0
0.47915375, 1, 1, 0
0.47915376, 1, 0, 0
0.47915387, 1, 1, 0
0.47915388, 1, 0, 0
0.47918974, 0, 0, 0
0.47919075, 1, 0, 0
0.47919990, 1, 1, 0
0.47919991, 1, 0, 0
0.47923576, 0, 0, 0
0.47923681, 1, 0, 0
0.47924199, 1, 1, 0
0.47924224, 1, 0, 0
0.47924293, 1, 1, 0
0.47924324, 1, 0, 0
0.47924593, 1, 1, 0
0.47924624, 1, 0, 0
0.47924643, 1, 1, 0
0.47924675, 1, 0, 0
0.47927363, 1, 1, 0
0.47927376, 1, 0, 0
0.47928179, 0, 0, 0
0.47928280, 1, 0, 0
0.47928782, 1, 1, 0
0.47928783, 1, 0, 0
0.47928832, 1, 1, 0
0.47928833, 1, 0, 0
0.47928846, 1, 1, 0
0.47928883, 1, 0, 0
0.47928913, 1, 1, 0
0.47928914, 1, 0, 0
0.47928963, 1, 1, 0
0.47928964, 1, 0, 0
0.47929007, 1, 1, 0
0.47929008, 1, 0, 0
0.47929063, 1, 1, 0
0.47929064, 1, 0, 0
0.47929113, 1, 1, 0
0.47929114, 1, 0, 0
0.47929263, 1, 1, 0
