Time[s], BSYNC, VIDEO, INTENS
1.01088717, 1, 0, 0
1.01088729, 1, 1, 0
1.01088745, 1, 0, 0
1.01088757, 1, 1, 0
1.01088767, 1, 0, 0
1.01088779, 1, 1, 0
1.01088850, 1, 0, 0
1.01088862, 1, 1, 0
1.01088889, 1, 0, 0
1.01088901, 1, 1, 0
1.01088917, 1, 0, 0
1.01088929, 1, 1, 0
1.01088961, 1, 0, 0
1.01088973, 1, 1, 0
1.01088989, 1, 0, 0
1.01089040, 1, 1, 1
1.01089050, 1, 0, 0
1.01089095, 1, 1, 1
1.01089106, 1, 0, 0
1.01089112, 1, 1, 1
1.01089123, 1, 0, 0
1.01089151, 1, 1, 0
1.01089167, 1, 0, 0
1.01089179, 1, 1, 0
1.01089195, 1, 0, 0
1.01089207, 1, 1, 0
1.01089217, 1, 0, 0
1.01089229, 1, 1, 0
1.01089245, 1, 0, 0
1.01089257, 1, 1, 0
1.01089267, 1, 0, 0
1.01089279, 1, 1, 0
1.01089350, 1, 0, 0
1.01089362, 1, 1, 0
1.01089389, 1, 0, 0
1.01089401, 1, 1, 0
1.01089461, 1, 0, 0
1.01089473, 1, 1, 0
1.01089489, 1, 0, 0
1.01089546, 1, 1, 1
1.01089556, 1, 0, 0
1.01089562, 1, 1, 1
1.01089567, 1, 0, 0
1.01089590, 1, 1, 1
1.01089600, 1, 0, 0
1.01089651, 1, 1, 0
1.01089695, 1, 0, 0
1.01089723, 1, 1, 0
1.01089739, 1, 0, 0
1.01089757, 1, 1, 0
1.01089761, 1, 0, 0
1.01089773, 1, 1, 0
1.01089795, 1, 0, 0
1.01089807, 1, 1, 0
1.01089817, 1, 0, 0
1.01089829, 1, 1, 0
1.01089839, 1, 0, 0
1.01089874, 1, 1, 0
1.01089895, 1, 0, 0
1.01089923, 1, 1, 0
1.01089939, 1, 0, 0
1.01089973, 1, 1, 0
1.01089989, 1, 0, 0
1.01090046, 1, 1, 1
1.01090056, 1, 0, 0
1.01090062, 1, 1, 1
1.01090067, 1, 0, 0
1.01090090, 1, 1, 1
1.01090100, 1, 0, 1
1.01090101, 1, 0, 0
1.01090118, 1, 1, 1
1.01090128, 1, 0, 0
1.01090140, 1, 1, 0
1.01090145, 1, 0, 0
1.01090157, 1, 1, 0
1.01090167, 1, 0, 0
1.01090179, 1, 1, 0
1.01090195, 1, 0, 0
1.01090223, 1, 1, 0
1.01090239, 1, 0, 0
1.01090257, 1, 1, 0
1.01090262, 1, 0, 0
1.01090273, 1, 1, 0
1.01090295, 1, 0, 0
1.01090307, 1, 1, 0
1.01090317, 1, 0, 0
1.01090329, 1, 1, 0
1.01090345, 1, 0, 0
